Hostname,Last Seen,First Seen,Platform,OS Version,OS Build,OS Product Name,Kernel Version,Model,Manufacturer,Type,Chassis,Last Reboot,OU,Site,Prevention Policy,Response Policy,Sensor Update Policy,USB Device Policy,Kubernetes Admission Control Policy,Host ID,Local IP,Connection IP,Default Gateway IP,External IP,Domain,MAC Address,Connection MAC Address,Status,CPUID,Serial Number,Sensor Version,Sensor Tags,Cloud Service Provider,Cloud Service Account ID,Cloud Service Instance ID,Cloud Service Zone/Group,Kubernetes Cluster ID,Kubernetes Server Git Version,Kubernetes Server Version,RFM,Linux Sensor Mode,Deployment Type,Email,Pod ID,Pod Name,Pod Namespace,Pod Labels,Pod Annotations,Pod IP4,Pod IP6,Pod Hostname,Pod Host IP4,Pod Host IP6,Pod Service Account Name,Host Groups
LOFT-M3420,2023-08-31T19:35:51Z,2023-08-31T19:35:50Z,Mac,Monterey (12),21G403,,21.6.2000,"MacBookPro16,1",Apple Inc.,Workstation,Laptop,,,,"General-Prevention-Mac
31 Aug 23 19:37 UTC","General-Response-Mac
31 Aug 23 19:37 UTC","General-Sensor-Mac
31 Aug 23 19:37 UTC",No policy,No policy,ee38c1d730064f9eaef74d43e536016c,,,,187.72.41.41,,,,normal,591594,C02G98YUMD6M,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
LOFT-W3056,2023-08-17T20:38:03Z,2023-06-19T17:19:01Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3208,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-02T17:58:13Z,,,"General-Prevention-Windows-Workstation
28 Jun 23 21:58 UTC","General-Response-Windows
19 Jun 23 17:20 UTC","General-Sensor-Windows
19 Jun 23 17:29 UTC",No policy,No policy,a4520648c7da403ca2b243d2d76a1cc4,192.168.0.106,192.168.0.106,192.168.0.1,131.0.61.20,,00-d7-6d-12-db-c6,00-d7-6d-12-db-c6,normal,526017,7XBPSH3,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Windows
LOFT-M3512,2023-09-11T14:45:26Z,2022-11-03T13:47:43Z,Mac,Monterey (12),21G646,,21.6.2000,"MacBookPro17,1",Apple Inc.,Workstation,Invalid Chassis Type,,,,"General-Prevention-Mac
10 Jul 23 19:03 UTC","General-Response-Mac
03 Nov 22 13:48 UTC","General-Sensor-Mac
06 Jul 23 18:16 UTC",No policy,No policy,882ad08ad68140db8c5ac083e7161f88,192.168.0.3,,,186.204.59.232,,3c-06-30-19-39-2a,,normal,4294967295,C02G17QSQ05N,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
LOFT-M3436,2023-09-01T20:01:05Z,2023-07-04T19:30:45Z,Mac,Ventura (13),22F66,,22.5.2000,"MacBookPro17,1",Apple Inc.,Workstation,Invalid Chassis Type,,,,"General-Prevention-Mac
10 Jul 23 19:03 UTC","General-Response-Mac
04 Jul 23 19:32 UTC","General-Sensor-Mac
04 Jul 23 19:35 UTC",No policy,No policy,c3fb2b1a5da74e38ab90432ad9a902a3,192.168.1.88,,,64.180.109.181,,3c-06-30-14-5f-ad,,normal,4294967295,C02G20WDQ05D,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
LOFT-M3088,2023-09-11T14:46:05Z,2023-02-08T13:03:41Z,Mac,Monterey (12),21D62,,21.3.2000,"MacBookPro18,1",Apple Inc.,Workstation,Invalid Chassis Type,,,,"General-Prevention-Mac
10 Jul 23 19:03 UTC","General-Response-Mac
08 Feb 23 13:06 UTC","General-Sensor-Mac
06 Jul 23 15:42 UTC",No policy,No policy,116368fa15ae43f2bee0ea495e9a16f9,100.127.100.1,,,177.188.149.152,,be-d0-74-94-59-64,,normal,4294967295,WV9RX42Q67,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
LOFT-W0629,2023-09-11T14:55:39Z,2023-01-12T13:31:37Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3490,Dell Inc.,Workstation,Laptop,2023-09-07T11:51:07Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:43 UTC","General-Response-Windows
12 Jan 23 13:35 UTC","General-Sensor-Windows
29 Aug 23 14:42 UTC",No policy,No policy,520de8732e9d407da7b700efcde7242f,192.168.0.16,192.168.0.16,192.168.0.1,177.181.7.210,,c0-b5-d7-f5-28-41,c0-b5-d7-f5-28-41,normal,526058,7FLPSY2,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-W6076,2023-09-11T14:51:13Z,2023-02-17T16:06:07Z,Windows,Windows 10,"1,90E+04",Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-16T19:10:54Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:36 UTC","General-Response-Windows
17 Feb 23 16:12 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,1cd554b988e8428b99457c44df9db717,192.168.68.108,192.168.68.108,192.168.68.1,177.190.196.142,,00-d7-6d-5f-ba-bd,00-d7-6d-5f-ba-bd,normal,526017,D5KXPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-WIN10-TESTE-,2023-09-11T14:33:57Z,2023-04-05T18:16:54Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.2728,"VMware7,1","VMware, Inc.",Workstation,Other,2023-08-01T20:54:13Z,,,"General-Prevention-Windows-Workstation
07 Jul 23 10:06 UTC","General-Response-Windows
05 Apr 23 18:18 UTC","General-Sensor-Windows
30 Aug 23 17:32 UTC",No policy,No policy,1d8bdb8efe654b9bb015272013af4a84,192.168.100.150,192.168.100.150,192.168.100.1,200.170.190.57,,00-0c-29-91-3a-dc,00-0c-29-91-3a-dc,normal,329303,VMware-56 4d af ea a4 92 76 e7-9d 89 b9 6b d0 91 3a dc,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-JVL-W0863,2023-09-11T14:23:42Z,2022-11-17T19:36:41Z,Windows,Windows 11,22621,Windows 11 Home Single Language,10.0.22621.2134,82CG,LENOVO,Workstation,Laptop,2023-09-11T12:13:17Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:24 UTC","General-Response-Windows
31 Jan 23 21:30 UTC","General-Sensor-Windows
29 Aug 23 14:34 UTC",No policy,No policy,3d5a3e983a6a4064855e244abc81447c,192.168.100.159,192.168.100.159,192.168.100.1,191.54.84.109,,64-1c-67-cb-21-30,64-1c-67-cb-21-30,normal,656978,PE078MLN,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
NMH-W0121,2023-08-29T02:35:40Z,2023-04-11T19:41:12Z,Windows,Windows 10,19044,Windows 10 Pro,10.0.19044.3086,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-29T02:36:37Z,,,"General-Prevention-Windows-Workstation
29 Jun 23 23:16 UTC","General-Response-Windows
11 Apr 23 19:42 UTC","General-Sensor-Windows
12 Apr 23 20:46 UTC",No policy,No policy,a556f5315781467d8b4e0e3187f28dd7,192.168.15.7,192.168.15.7,192.168.15.1,177.45.230.68,,00-d7-6d-45-88-87,00-d7-6d-45-88-87,normal,526017,8TZKYL3,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Windows
LOFT-W6339,2023-09-11T13:53:16Z,2023-08-22T13:59:59Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-05T11:37:43Z,,,"General-Prevention-Windows-Workstation
22 Aug 23 14:01 UTC","General-Response-Windows
22 Aug 23 14:01 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,51808de26a514cf1b8821143b57af0bd,192.168.1.20,192.168.1.20,192.168.1.1,200.170.190.57,,00-d7-6d-5c-67-4b,00-d7-6d-5c-67-4b,normal,526017,499VPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-SPW-0471,2023-08-24T18:38:54Z,2022-10-20T18:03:29Z,Windows,Windows 11,22000,Windows 11 Pro,10.0.22000.2295,Vostro 5471,Dell Inc.,Workstation,Laptop,2023-08-24T12:58:26Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 19:24 UTC","General-Response-Windows
19 Jun 23 10:59 UTC","Teste de estabilidade de versao
23 Aug 23 20:20 UTC",No policy,No policy,aff53463dec24f7cbed0e350d12efe77,10.10.50.25,10.10.50.25,10.10.50.1,177.190.196.142,loft.br,00-05-16-5c-72-f5,00-05-16-5c-72-f5,normal,526058,J9XJYR2,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF-Prevention-Policy-Homol-Win,LF_Windows_Scan_Agendado"
LOFT-W3213,2023-09-11T14:26:46Z,2022-05-16T19:32:39Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-11T14:01:26Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:23 UTC","General-Response-Windows
16 May 22 19:32 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,0d912dbbb5f34ecea67fa015a75aef00,10.10.140.104,10.10.140.104,10.10.140.1,177.190.196.142,,00-d7-6d-11-43-8d,00-d7-6d-11-43-8d,normal,526017,6JBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-W3378,2023-09-11T14:37:49Z,2022-10-19T19:50:49Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-01T12:37:24Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:35 UTC","General-Response-Windows
19 Oct 22 19:51 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,b568a9395c124455b1fb3b6b068e77c9,192.168.15.200,192.168.15.200,192.168.15.1,187.72.41.41,,00-d7-6d-12-dc-43,00-d7-6d-12-dc-43,normal,526017,CVBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-W6159,2023-08-12T17:52:12Z,2023-05-18T18:54:38Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3208,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-07-19T20:42:45Z,,,"General-Prevention-Windows-Workstation
29 Jun 23 11:01 UTC","General-Response-Windows
18 May 23 18:56 UTC","General-Sensor-Windows
18 May 23 19:06 UTC",No policy,No policy,4ac5ffd5ee7a4749ae186639ee99f12d,192.168.0.70,192.168.0.70,192.168.0.1,187.56.65.120,,00-d7-6d-63-78-5b,00-d7-6d-63-78-5b,normal,526017,3RJXPP3,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Windows
LOFT-W3341,2023-09-06T23:33:35Z,2022-10-17T19:18:01Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-26T21:59:34Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:35 UTC","General-Response-Windows
19 Jun 23 18:07 UTC","General-Sensor-Windows
29 Aug 23 15:01 UTC",No policy,No policy,24a433fde1854315b4e8c45eff8820f5,192.168.15.16,2804:18:8d7:9f59:c523:91d5:eae5:aedb,2804:18:8d7:9f59:c523:91d5:eae5:aedb,177.190.196.142,,00-d7-6d-12-e6-34,00-d7-6d-12-e6-34,normal,526017,6SBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-M3192,2023-09-11T14:45:06Z,2023-03-21T17:08:25Z,Mac,Ventura (13),22G91,,22.6.2000,"MacBookPro18,1",Apple Inc.,Workstation,Invalid Chassis Type,,,,"General-Prevention-Mac
10 Jul 23 19:07 UTC","General-Response-Mac
21 Mar 23 17:12 UTC","General-Sensor-Mac
10 Jul 23 19:07 UTC",No policy,No policy,eafc8072ce9d4bc3bb4b8ca052bb8000,192.168.27.200,,,179.110.170.17,,b0-de-28-07-e9-22,,normal,4294967295,XY7N03YC5X,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
VISTA-W0001,2023-09-11T13:44:21Z,2023-07-10T20:32:17Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-08T09:38:22Z,,,"General-Prevention-Windows-Workstation
10 Jul 23 20:33 UTC","General-Response-Windows
10 Jul 23 20:33 UTC","General-Sensor-Windows
29 Aug 23 15:00 UTC",No policy,No policy,6293ea98e4bc4e9997af7c0b11e3fc26,192.168.60.3,10.12.100.6,10.12.100.1,189.4.106.222,,00-d7-6d-25-a9-18,f4-ee-08-ab-73-70,normal,526017,H9GRQK3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
dev3,2023-09-11T14:56:35Z,2023-01-12T03:25:06Z,Linux,Ubuntu 20.04,,,5.15.0-1037-aws,m5.xlarge,Amazon EC2,Server,Other,,,,"General-Prevention-Linux-Server
17 Jul 23 12:59 UTC","General-Response-Linux
12 Jan 23 03:27 UTC","General-Sensor-Linux-CP
03 Feb 23 01:05 UTC",No policy,No policy,2dfa62aeb5134122a1d99bfa9d0e6742,172.32.77.126,172.32.77.126,172.32.64.1,18.232.133.77,,02-27-a3-2a-0d-9d,02-27-a3-2a-0d-9d,normal,329303,ec2fa63c-e36c-b196-7641-4569358efe5d,6.50.14712.0,,AWS_EC2_V2,629948353967,i-065757700dd6d0b2b,us-east-1a,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-LinuxServers,CS-GRP-BR-Linux"
CP-CWB-W0934,2023-09-11T14:20:18Z,2023-08-29T10:55:47Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2215,Aspire A515-54,Acer,Workstation,Laptop,2023-08-29T17:42:46Z,,,"General-Prevention-Windows-Workstation
29 Aug 23 10:57 UTC","General-Response-Windows
29 Aug 23 10:57 UTC","General-Sensor-Windows
29 Aug 23 15:19 UTC",No policy,No policy,d8917f90894e47af9b7725adb5aa418b,10.111.100.125,10.111.100.125,10.111.100.1,200.170.190.57,,70-69-79-a1-37-04,70-69-79-a1-37-04,normal,526060,NXHQMAL00T1380287D9Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W6582,2023-09-11T14:57:46Z,2023-02-28T14:16:46Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-30T13:35:20Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 20:20 UTC","General-Response-Windows
28 Feb 23 14:19 UTC","General-Sensor-Windows
29 Aug 23 15:01 UTC",No policy,No policy,02f6292524534225baef5aacd8e88d56,192.168.0.11,192.168.0.11,192.168.0.1,187.22.133.165,,b4-45-06-37-82-6d,b4-45-06-37-82-6d,normal,526017,49KXPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-W2246,2023-09-11T14:34:00Z,2022-12-21T20:02:01Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-08-31T14:29:59Z,,,"General-Prevention-Windows-Workstation
28 Jun 23 20:35 UTC","General-Response-Windows
21 Dec 22 20:06 UTC","General-Sensor-Windows
30 Aug 23 16:41 UTC",No policy,No policy,58aa756e050f40998fd74dc271258838,10.111.140.109,10.111.140.109,10.111.140.1,200.170.190.57,,70-cf-49-e4-65-83,70-cf-49-e4-65-83,normal,526060,8VVF4F3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-W3007,2023-09-04T12:21:22Z,2023-08-18T15:13:59Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-08-21T19:39:55Z,,,"General-Prevention-Windows-Workstation
18 Aug 23 15:16 UTC","General-Response-Windows
18 Aug 23 15:16 UTC","General-Sensor-Windows
04 Sep 23 12:22 UTC",No policy,No policy,1f76f9daa67c41f98ee36f5cfa1f6b76,10.111.140.121,10.111.140.121,10.111.140.1,200.170.190.57,,00-d7-6d-00-63-f1,00-d7-6d-00-63-f1,normal,526060,CYZ2XF3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
LOFT-W6384,2023-09-11T14:36:57Z,2023-06-15T13:40:52Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-09-05T12:02:01Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 19:38 UTC","General-Response-Windows
15 Jun 23 14:05 UTC","General-Sensor-Windows
31 Aug 23 12:05 UTC",No policy,No policy,a04a42f27abc462c9260b1a92117ecce,192.168.15.107,192.168.15.107,192.168.15.1,189.68.168.242,,00-d7-6d-5f-ad-8e,00-d7-6d-5f-ad-8e,normal,526017,JZJXPP3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
VISTA-W0031,2023-09-11T14:57:48Z,2023-06-30T14:44:42Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-09-01T17:09:25Z,,,"General-Prevention-Windows-Workstation
30 Jun 23 14:46 UTC","General-Response-Windows
30 Jun 23 14:46 UTC","General-Sensor-Windows
29 Aug 23 14:30 UTC",No policy,No policy,532c30c49e1f42d6a4c9f61e64f21c52,10.12.100.3,192.168.0.35,192.168.0.1,191.35.253.229,,8c-47-be-25-93-4c,90-cc-df-41-ce-22,normal,526060,D3LGB93,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
LOFT-W3386,2023-09-11T14:57:56Z,2022-10-17T17:44:28Z,Windows,Windows 10,19045,Windows 10 Pro,10.0.19045.3324,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-26T22:29:45Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:35 UTC","General-Response-Windows
17 Oct 22 17:46 UTC","General-Sensor-Windows
29 Aug 23 14:29 UTC",No policy,No policy,f86e98d669e34c168d99f51caa72fc26,192.168.0.205,192.168.0.205,192.168.0.1,177.190.196.142,,00-d7-6d-12-de-5f,00-d7-6d-12-de-5f,normal,526017,3WBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-W2723,2023-09-09T23:32:29Z,2023-08-10T17:53:01Z,Windows,Windows 11,"2,26E+04",Windows 11 Pro,10.0.22621.2215,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-08-30T14:23:36Z,,,"General-Prevention-Windows-Workstation
10 Aug 23 17:54 UTC","General-Response-Windows
10 Aug 23 17:54 UTC","General-Sensor-Windows
30 Aug 23 13:54 UTC",No policy,No policy,259b3202a12942118b5b602997f029b1,192.168.100.123,192.168.100.123,192.168.100.1,200.170.190.57,,90-cc-df-41-c9-ef,90-cc-df-41-c9-ef,normal,526060,83LGB93,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-W3004,2023-08-28T16:39:30Z,2023-08-08T14:04:19Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2215,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-08-25T19:23:49Z,,,"General-Prevention-Windows-Workstation
08 Aug 23 14:07 UTC","General-Response-Windows
08 Aug 23 14:07 UTC","General-Sensor-Windows
08 Aug 23 14:10 UTC",No policy,No policy,a83e5cf555d546fc8f17afa1aa6ddc0b,10.111.140.145,10.111.140.145,10.111.140.1,200.170.190.57,,70-cf-49-e5-66-59,70-cf-49-e5-66-59,normal,526060,5SVF4F3,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,TESTE-CS-GRP-BR-CP-Windows"
LOFT-M2009,2023-09-11T12:32:00Z,2023-08-17T20:52:24Z,Mac,Ventura (13),22G74,,22.6.2000,"MacBookPro16,1",Apple Inc.,Workstation,Laptop,,,,"General-Prevention-Mac
17 Aug 23 20:53 UTC","General-Response-Mac
17 Aug 23 20:53 UTC","General-Sensor-Mac
17 Aug 23 20:53 UTC",No policy,No policy,64f63c54c6d14ad7868e2e069cab0e08,,,,186.215.191.52,,,,normal,591594,C02CCGJDMD6M,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
LOFT-SPM-3597,2023-09-11T14:46:33Z,2023-07-05T20:35:15Z,Mac,Monterey (12),21G115,,21.6.2000,"MacBookAir10,1",Apple Inc.,Workstation,Invalid Chassis Type,,,,"General-Prevention-Mac
10 Jul 23 19:02 UTC","General-Response-Mac
05 Jul 23 20:36 UTC","General-Sensor-Mac
05 Jul 23 20:36 UTC",No policy,No policy,f1c795e72ae54e669c740a1fc4df7ea9,,,,177.94.154.160,,,,normal,4294967295,C02G3WB3Q6L4,6.42.15503.0,,,,,,,,,no,,,,,,,,,,,,,,,CS-GRP-BR-Mac
CP-CWB-W1022,2023-09-11T14:43:21Z,2023-01-04T16:01:28Z,Windows,Windows 10,"1,90E+04",Windows 10 Pro,10.0.19045.3324,Aspire A515-54,Acer,Workstation,Laptop,2023-08-15T10:57:57Z,,,"General-Prevention-Windows-Workstation
12 Jul 23 19:08 UTC","General-Response-Windows
12 Jul 23 19:08 UTC","General-Sensor-Windows
29 Aug 23 16:06 UTC",No policy,No policy,aba45a454c734f10bb7281f500fd476f,10.111.140.16,10.111.140.16,10.111.140.1,177.7.166.204,,d8-f3-bc-6d-ff-29,d8-f3-bc-6d-ff-29,normal,526060,NXHQMAL00T138028159Z00,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-CWB-W0891,2023-08-18T16:08:25Z,2022-11-17T20:10:06Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.1992,Aspire A515-54,Acer,Workstation,Laptop,2023-07-13T03:46:02Z,,,"General-Prevention-Windows-Workstation
28 Jun 23 20:33 UTC","General-Response-Windows
30 Nov 22 18:41 UTC","General-Sensor-Windows
28 Feb 23 17:58 UTC",No policy,No policy,316fc57cc4ea4fe883371d855a38741b,192.168.100.106,192.168.100.106,192.168.100.1,200.170.190.57,,d8-f3-bc-6d-64-bd,d8-f3-bc-6d-64-bd,normal,526060,NXHQMAL00T138027F79Z00,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,TESTE-CS-GRP-BR-CP-Windows"
CP-W0170,2023-09-11T14:25:06Z,2022-12-28T19:53:18Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.1992,Latitude 3490,Dell Inc.,Workstation,Laptop,2023-08-11T16:00:15Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:25 UTC","General-Response-Windows
28 Dec 22 19:54 UTC","General-Sensor-Windows
29 Aug 23 14:59 UTC",No policy,No policy,71ab99d9475646f2904f8f2899fe10fb,10.111.100.76,10.111.100.76,10.111.100.1,200.170.190.57,,4c-d9-8f-fb-c7-a4,4c-d9-8f-fb-c7-a4,normal,526058,20SSFV2,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,LF_Windows_Scan_Agendado,TESTE-CS-GRP-BR-CP-Windows"
CP-W2108,2023-08-22T19:53:07Z,2023-08-08T11:36:11Z,Windows,Windows 11,22621,Windows 11 Pro,10.0.22621.2134,Latitude 3410,Dell Inc.,Workstation,Laptop,2023-08-16T03:24:24Z,,,"General-Prevention-Windows-Workstation
08 Aug 23 11:39 UTC","General-Response-Windows
08 Aug 23 11:39 UTC","General-Sensor-Windows
10 Aug 23 17:47 UTC",No policy,No policy,48fd59e3b47c4a949df45f9eed2e8452,10.111.110.236,10.111.110.236,10.111.110.1,200.170.190.57,,90-cc-df-3d-d2-6d,90-cc-df-3d-d2-6d,normal,526060,4HBHB93,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,TESTE-CS-GRP-BR-CP-Windows"
VISTA-W0006,2023-09-06T19:56:06Z,2023-06-20T18:47:00Z,Windows,Windows 11,"2,26E+04",Windows 11 Pro,10.0.22621.2134,Latitude 3420,Dell Inc.,Workstation,Laptop,2023-08-30T12:22:27Z,,,"General-Prevention-Windows-Workstation
05 Jul 23 14:34 UTC","General-Response-Windows
05 Jul 23 14:34 UTC","General-Sensor-Windows
29 Aug 23 15:24 UTC",No policy,No policy,042275041b49487e824ae4d49d200be3,192.168.60.75,192.168.60.75,192.168.60.1,177.124.149.102,,00-d7-6d-12-dc-c5,00-d7-6d-12-dc-c5,normal,526017,5ZBPSH3,6.56.17010.0,,,,,,,,,no,,,,,,,,,,,,,,,"CS-GRP-BR-Windows,LF_Windows_Scan_Agendado"
CP-W0655,2023-08-16T18:15:30Z,2023-07-10T13:51:25Z,Windows,Windows 11,"2,26E+04",Windows 11 Pro,10.0.22621.2134,Latitude 3490,Dell Inc.,Workstation,Laptop,2023-08-16T17:40:20Z,,,"General-Prevention-Windows-Workstation
10 Jul 23 13:52 UTC","General-Response-Windows
10 Jul 23 13:52 UTC","General-Sensor-Windows
10 Jul 23 13:52 UTC",No policy,No policy,e8dd273f73d74dcd839c00781059153a,10.111.110.254,10.111.110.254,10.111.110.1,200.170.190.57,,c0-b5-d7-f5-2a-95,c0-b5-d7-f5-2a-95,normal,526058,7FHHSY2,6.49.16303.0,,,,,,,,,no,,,,,,,,,,,,,,,"CP-CS-GRP-BR-Windows,CS-GRP-BR-Windows,TESTE-CS-GRP-BR-CP-Windows"
